subset,image_id,group_id,size_group,k_i,selected_source,dice,iou,oracle_dice,selector_regret,recall_at_0_10,recall_at_0_30,recall_at_0_50
classifier448+external_saliency,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,classifier448,0.49660995266726365,0.3303267528931246,0.6462212486308871,0.1496112959636235,1,1,1
layercam320+classifier448+external_saliency,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,classifier448,0.49660995266726365,0.3303267528931246,0.7292839122841064,0.23267395961684273,1,1,1
layercam320,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,layercam320,0.6256513699781476,0.4552348336594912,0.6345981475948611,0.008946777616713475,1,1,1
classifier448,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.6670560747663551,0.5004382120946538,0.7857686453576864,0.11871257059133133,1,1,1
external_saliency,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.9078076753418615,0.8311793214862682,0.9093598140714135,0.0015521387295520661,1,1,1
layercam320+classifier448,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.6670560747663551,0.5004382120946538,0.7857686453576864,0.11871257059133133,1,1,1
layercam320+external_saliency,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.9078076753418615,0.8311793214862682,0.9093598140714135,0.0015521387295520661,1,1,1
classifier448+external_saliency,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.6670560747663551,0.5004382120946538,0.9093598140714135,0.24230373930505844,1,1,1
layercam320+classifier448+external_saliency,IMG000200.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.6670560747663551,0.5004382120946538,0.9093598140714135,0.24230373930505844,1,1,1
layercam320,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,layercam320,0.2556332556332556,0.1465478841870824,0.5861397994312229,0.33050654379796723,1,1,1
classifier448,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.7472527472527473,0.5964912280701754,0.7472527472527473,0.0,1,1,1
external_saliency,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.668029197080292,0.5015344147303814,0.7807403572353093,0.11271116015501736,1,1,1
layercam320+classifier448,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,classifier448,0.7472527472527473,0.5964912280701754,0.7472527472527473,0.0,1,1,1
layercam320+external_saliency,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.668029197080292,0.5015344147303814,0.7807403572353093,0.11271116015501736,1,1,1
classifier448+external_saliency,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.6843153999430686,0.520121159671138,0.7807403572353093,0.09642495729224076,1,1,1
layercam320+classifier448+external_saliency,IMG000201.jpeg,btxrd-heuristic-000098,medium,27,external_saliency,0.6843153999430686,0.520121159671138,0.7807403572353093,0.09642495729224076,1,1,1
layercam320,IMG000202.jpeg,btxrd-heuristic-000099,medium,27,layercam320,0.8539411206077873,0.745111037454425,0.879842180774749,0.025901060166961698,1,1,1
classifier448,IMG000202.jpeg,btxrd-heuristic-000099,medium,27,classifier448,0.6820301783264746,0.5174854288093256,0.8620209059233449,0.1799907275968703,1,1,1
