method,image_id,group_id,tumor,size_group,dice,candidate_source,candidate_oracle_dice_common320,selector_regret_common320,primary_failure,all_failure_flags,candidate_supply_failure,selector_choice_failure,complete_miss,over_segmentation,under_segmentation,wrong_anatomical_structure,fragmented_mask,missing_component,normal_false_positive,small_lesion_specific_failure
direct_rich_gallery,IMG000793.jpeg,btxrd-heuristic-000452,1,medium_1_to_5pct,0.0,layercam,0.8387662110059586,0.8387662110059586,selector_choice_failure,selector_choice_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask,0,1,1,1,0,1,1,0,0,0
direct_rich_gallery,IMG000794.jpeg,btxrd-heuristic-000452,1,medium_1_to_5pct,0.04309987567343556,classifier448:layercam,0.5268611944368694,0.48555956740307715,selector_choice_failure,selector_choice_failure;under_segmentation;fragmented_mask,0,1,0,0,1,0,1,0,0,0
direct_rich_gallery,IMG000838.jpeg,btxrd-heuristic-000476,1,small_lt_1pct,0.0,layercam,0.09386281588447654,0.09386281588447654,candidate_supply_failure,candidate_supply_failure;complete_miss;wrong_anatomical_structure;small_lesion_specific_failure,1,0,1,0,0,1,0,0,0,1
direct_rich_gallery,IMG000876.jpeg,btxrd-heuristic-000501,1,small_lt_1pct,0.01041707038010006,classifier448:layercam,0.09230769230769231,0.0601352263220856,candidate_supply_failure,candidate_supply_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,1,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000895.jpeg,btxrd-heuristic-000513,1,small_lt_1pct,0.001289257319928073,layercam,0.06701030927835051,0.049766345739454036,candidate_supply_failure,candidate_supply_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,1,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000899.jpeg,btxrd-heuristic-000516,1,small_lt_1pct,0.0,layercam,0.15067961165048543,0.12559604138551506,small_lesion_specific_failure,complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,0,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000901.jpeg,btxrd-heuristic-000518,1,small_lt_1pct,0.004823855176549057,classifier448:layercam,0.1,0.09518963922294173,small_lesion_specific_failure,over_segmentation;fragmented_mask;small_lesion_specific_failure,0,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000902.jpeg,btxrd-heuristic-000519,1,small_lt_1pct,0.018543278061702632,classifier448:layercam,0.7350427350427351,0.7167525867816849,selector_choice_failure,selector_choice_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,0,1,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000905.jpeg,btxrd-heuristic-000521,1,small_lt_1pct,0.11353308020696032,layercam,0.20705346985210465,0.0927511780041209,over_segmentation,over_segmentation;fragmented_mask,0,0,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000917.jpeg,btxrd-heuristic-000527,1,small_lt_1pct,0.0,classifier448:layercam,0.038510911424903725,0.038510911424903725,candidate_supply_failure,candidate_supply_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,1,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000918.jpeg,btxrd-heuristic-000528,1,small_lt_1pct,0.0,classifier448:layercam,0.05226480836236934,0.05226480836236934,candidate_supply_failure,candidate_supply_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;missing_component;small_lesion_specific_failure,1,0,1,1,0,1,1,1,0,1
direct_rich_gallery,IMG000924.jpeg,btxrd-heuristic-000533,1,small_lt_1pct,0.005365269930947897,layercam,0.005835629761711785,0.0,candidate_supply_failure,candidate_supply_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,1,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000928.jpeg,btxrd-heuristic-000536,1,small_lt_1pct,0.5701211971308434,layercam,0.7532467532467533,0.15106172296182196,none,,0,0,0,0,0,0,0,0,0,0
direct_rich_gallery,IMG000930.jpeg,btxrd-heuristic-000538,1,small_lt_1pct,0.7223758725141578,classifier448:layercam,0.8895184135977338,0.1616272571351487,none,,0,0,0,0,0,0,0,0,0,0
direct_rich_gallery,IMG000931.jpeg,btxrd-heuristic-000539,1,small_lt_1pct,0.003968738325880391,layercam,0.04371584699453552,0.039621082443497206,candidate_supply_failure,candidate_supply_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,1,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000932.jpeg,btxrd-heuristic-000540,1,small_lt_1pct,0.052286510408129816,classifier448:layercam,0.18433179723502305,0.11943504207278116,small_lesion_specific_failure,over_segmentation;fragmented_mask;small_lesion_specific_failure,0,0,0,1,0,0,1,0,0,1
